scenario_id,terrain_type,selected_blue_id,selected_red_id,selected_advantage,blue_doctrinal_alignment,red_doctrinal_alignment,path_optionality,vertex_parsimony,worldline_completion,council_diversity,revised_diversity,consensus_gap,adversarial_pressure,robustness_margin,pressure_reduction,n_blue_candidates,n_revised_candidates,selected_round,blue_wins
urban-100,urban,2bf18007,cd939da2,0.5038528635141303,0.86,0.59,0.0,0.5,0.0,0.89,0.6666666666666667,0.0036186135172596723,0.646510622826341,0.0036186135172596723,-0.03895738583026076,5,2,1,True
maritime-101,maritime,32b4aa9e,09589e6f,0.5085476790799853,1.0,1.0,0.0,0.5,0.0,0.39999999999999997,0.5714285714285714,0.025583557375220334,0.622384026435528,0.025583557375220334,-0.03454640297798206,5,2,1,True
multi-domain-102,mixed,3c0f68bf,3995ceb5,0.5076370878488125,0.77,1.0,0.0,0.5,1.0,0.9400000000000001,1.0,0.019968006483914724,0.6237840582959587,0.019968006483914724,-0.03960830033814189,5,2,1,False
air-defense-103,air_defense,1805e8d0,160eaa80,0.5356301693645233,0.86,0.815,0.0,0.5,0.0,0.3333333333333334,0.5,0.0027827776620588107,0.5507190458664523,0.0,0.03219857751828881,5,2,0,True
humanitarian-evacuation-104,urban_humanitarian,e2dcb689,4d3fe537,0.5258812166656909,1.0,0.91,0.0,0.5,0.0,0.28571428571428564,0.4444444444444444,0.003867093370439001,0.5617993237535035,0.0,0.013763830919640618,5,2,0,True
urban-103,urban,0929de8a,7e211f82,0.5256465864177433,1.0,1.0,0.0,0.5,0.0,0.89,0.6666666666666667,0.006830290853928056,0.6218348597468617,0.006830290853928056,-0.027679879743133906,5,2,1,True
maritime-104,maritime,1d1d9cd7,406c4b09,0.5218378255106457,0.86,1.0,0.0,0.5,0.0,0.39999999999999997,0.5714285714285714,0.029281597818967997,0.5880478740061645,0.029281597818967997,0.02358651157647218,5,2,1,True
multi-domain-105,mixed,2e277d94,af7298ec,0.5322676772627004,0.9550000000000001,0.9550000000000001,0.0,0.5,1.0,0.9400000000000001,1.0,0.0451308214177924,0.6158009678936694,0.0451308214177924,-0.027320645673435617,5,2,1,True
air-defense-106,air_defense,0e5e6079,9ede652c,0.49262729793074433,1.0,0.9550000000000001,0.0,0.5,0.0,0.3333333333333334,0.5,0.004257276700056711,0.6414689291659674,0.004257276700056711,-0.004657631778319571,5,2,1,False
humanitarian-evacuation-107,urban_humanitarian,005eaa7d,0f9e4eef,0.5102944814125642,1.0,0.815,0.0,0.5,0.0,0.28571428571428564,0.4444444444444444,0.004233880341231899,0.6032555113192493,0.004233880341231899,-0.01130293952003647,5,2,1,True
urban-106,urban,f4313104,62d723d8,0.4742078717272398,0.9550000000000001,0.91,0.0,0.5,0.0,0.89,1.0,0.021547793741268084,0.6234736402998828,0.021547793741268084,-0.004298439478688576,5,2,1,True
maritime-107,maritime,888a1698,b775bdfb,0.513370579277663,0.86,1.0,0.0,0.5,0.0,0.39999999999999997,0.5714285714285714,0.03649421280614573,0.6140738936123097,0.03649421280614573,0.013236161468199503,5,2,1,True
multi-domain-108,mixed,b2816023,24fa89ea,0.48296299059496756,0.77,0.815,0.0,0.5,1.0,0.9400000000000001,1.0,0.006166873233482528,0.637005676784293,0.014356845069264268,-0.0009710458747907991,5,2,1,False
air-defense-109,air_defense,25bd2c09,3284a239,0.5048704141034439,1.0,0.815,0.0,0.5,0.0,0.3333333333333334,0.5,0.0030908103819456967,0.6260742239607479,0.0030908103819456967,0.014212708531695095,5,2,1,True
humanitarian-evacuation-110,urban_humanitarian,8a4c2952,db1ae28f,0.5266206141179136,1.0,0.635,0.0,0.5,0.0,0.28571428571428564,0.4444444444444444,0.007832631873197271,0.5644190277601101,0.0,0.013005725376153854,5,2,0,True
urban-109,urban,6788a583,3961fe73,0.5091526472239135,1.0,0.9550000000000001,0.0,0.5,0.0,0.89,0.6666666666666667,0.007266110319576469,0.6484886282709063,0.013604168778112935,0.0019873011922445505,5,2,1,True
maritime-110,maritime,542d5a1f,4390c357,0.4973575474600868,0.815,0.815,0.0,0.5,0.3333333333333333,0.39999999999999997,0.5714285714285714,0.0017216572633852456,0.6413181275351387,0.004872148264751575,-0.02752649787821282,5,2,1,True
multi-domain-111,mixed,b070e5ed,e7c5ae54,0.5343920937729055,0.77,0.9550000000000001,0.0,0.5,1.0,0.9400000000000001,1.0,0.021571042160702047,0.6104470648138002,0.021571042160702047,-0.012903255587190854,5,2,1,False
air-defense-112,air_defense,8e151e34,9b5acac0,0.5000961339445436,1.0,0.815,0.0,0.5,0.0,0.3333333333333334,0.5,0.009120938526475886,0.6308409545662252,0.009120938526475886,0.01046926048894603,5,2,1,False
humanitarian-evacuation-113,urban_humanitarian,83c036de,fad57f94,0.5270100207865628,1.0,1.0,0.0,0.5,0.0,0.28571428571428564,0.4444444444444444,0.003769683890866349,0.5571737040059624,0.0,0.009644078642171316,5,2,0,True
urban-112,urban,ffb438fd,5aa70700,0.49240910342984767,1.0,0.815,0.0,0.5,0.0,0.89,0.6666666666666667,0.0025304460370889625,0.6553523532166361,0.0025304460370889625,-0.01879022865285984,5,2,1,True
maritime-113,maritime,418d89c0,6b082840,0.5083278571501132,1.0,1.0,0.0,0.5,0.0,0.39999999999999997,0.5714285714285714,0.023206879221187637,0.6253782246092016,0.023206879221187637,-0.008681460972370325,5,2,1,True
multi-domain-114,mixed,c3429246,909c1470,0.5256032137775342,0.77,0.77,0.0,0.5,1.0,0.9400000000000001,1.0,0.0034836808592008106,0.5981015530152816,0.0341478354470196,0.04984908343497252,5,2,1,True
air-defense-115,air_defense,38fb414a,3e2311d3,0.4917161908049634,1.0,1.0,0.0,0.5,0.0,0.3333333333333334,0.5,0.0001741907477282867,0.6536015572995011,0.0001741907477282867,-0.0416066438549727,5,2,1,True
humanitarian-evacuation-116,urban_humanitarian,a70c6af9,0942e760,0.5133988420247702,1.0,1.0,0.0,0.5,0.0,0.28571428571428564,0.4444444444444444,0.012236111516117254,0.5999210154615592,0.013764105304113206,0.04376864178354001,5,2,1,True
urban-115,urban,74eb758f,a5bc0ec0,0.5003496756964607,1.0,0.73,0.0,0.5,0.0,0.89,0.6666666666666667,0.018076132715712512,0.6251686186423615,0.018076132715712512,0.02672040961195221,5,2,1,True
maritime-116,maritime,422bb300,455e4d89,0.5068744178202005,0.815,1.0,0.0,0.5,0.0,0.39999999999999997,0.5714285714285714,0.008386408491985686,0.6260657238870333,0.008386408491985686,-0.025805537750036467,5,2,1,True
multi-domain-117,mixed,6d2415aa,21aee8e5,0.5297531361026719,0.9550000000000001,1.0,0.0,0.5,1.0,0.9400000000000001,1.0,0.030047708508729176,0.5956582781689226,0.05354912691821717,0.014719700033920202,5,2,1,True
air-defense-118,air_defense,bc101421,82bb2efc,0.5200324140446203,1.0,1.0,0.0,0.5,0.0,0.3333333333333334,0.5,0.010925705152912746,0.5947497314381935,0.010925705152912746,0.0476182563392028,5,2,1,False
humanitarian-evacuation-119,urban_humanitarian,6531bc37,c3108c3f,0.4892120925956171,1.0,1.0,0.0,0.5,0.0,0.28571428571428564,0.4444444444444444,0.0033878371023680076,0.6545143504338711,0.0033878371023680076,-0.013283924333644448,5,2,1,True
urban-118,urban,af8b35b0,270597c9,0.5140797680825506,0.9550000000000001,0.77,0.0,0.5,0.0,0.89,0.6666666666666667,0.005133181569945411,0.5581724267257802,0.0,0.025467420641535732,5,2,0,True
maritime-119,maritime,98a8dcd7,5d9e5396,0.5032649197579983,0.815,0.86,0.0,0.5,0.3333333333333333,0.39999999999999997,0.5714285714285714,0.010751403988166486,0.6334910090582682,0.010751403988166486,-0.03173219555408391,5,2,1,True
multi-domain-120,mixed,ddbf41e1,c509565d,0.5303878811401909,0.9550000000000001,0.9550000000000001,0.0,0.5,1.0,0.9400000000000001,1.0,0.02746243624444411,0.5956110697609434,0.05610892172407822,0.053978854333607273,5,2,1,True
air-defense-121,air_defense,f44d40af,4a80ce0c,0.49466037782079986,0.86,1.0,0.0,0.5,0.0,0.3333333333333334,0.5,0.0017362748325296384,0.6457000929326651,0.0017362748325296384,-0.03632512164113699,5,2,1,True
humanitarian-evacuation-122,urban_humanitarian,4f1ae8ba,18a7e798,0.5267360011204324,1.0,0.9550000000000001,0.0,0.5,0.0,0.28571428571428564,0.4444444444444444,0.005733457085342397,0.5641927317760795,0.0,0.022789001715389667,5,2,0,True
urban-121,urban,66381acf,7506ada0,0.48020630236488215,0.86,0.8200000000000001,0.0,0.5,0.0,0.89,0.6666666666666667,0.00728180776487658,0.6491502985621675,0.00728180776487658,0.0026772765247097263,5,2,1,True
maritime-122,maritime,adf3d235,7bba9c43,0.5166307155329589,0.815,1.0,0.0,0.5,0.0,0.39999999999999997,0.5714285714285714,0.003907054693731538,0.5919557867369796,0.0,0.024283615021540195,5,2,0,True
multi-domain-123,mixed,29b21b4b,9608e111,0.48938487056933,0.9550000000000001,0.9550000000000001,0.0,0.5,1.0,0.9400000000000001,1.0,0.009275327924702204,0.6604701206097803,0.0325709443779455,-0.06980402237302585,5,2,1,False
air-defense-124,air_defense,e73c2dbc,950af313,0.49006665208922046,1.0,1.0,0.0,0.5,0.0,0.3333333333333334,0.5,0.007512062468783831,0.6525839136244564,0.007512062468783831,-0.009587491299577255,5,2,1,False
humanitarian-evacuation-125,urban_humanitarian,151c1b1c,5e97a9e1,0.5039926613971373,1.0,1.0,0.0,0.5,0.0,0.28571428571428564,0.4444444444444444,0.0029906070875435065,0.6124809495925276,0.005907631710762973,0.013891424178043899,5,2,1,True
urban-124,urban,0d1944dc,fde19831,0.46175191695922185,0.815,0.815,0.0,0.5,0.0,0.89,0.6666666666666667,0.00031339555772424976,0.6672640455993134,0.0,-0.0031449110316476014,5,2,0,True
maritime-125,maritime,0adce40f,402ec14a,0.5100190637216178,0.815,1.0,0.0,0.5,0.3333333333333333,0.39999999999999997,0.5714285714285714,0.008934990838415757,0.6147047079234301,0.008934990838415757,-0.002279472681943173,5,2,1,True
multi-domain-126,mixed,385b9ed4,9a837cfb,0.499914114036184,0.77,1.0,0.0,0.5,1.0,0.9400000000000001,1.0,0.026002400278012594,0.6615837858810412,0.026002400278012594,-0.009224493691934343,5,2,1,False
air-defense-127,air_defense,8eaf7a9c,c79c7d58,0.5089678641033399,0.86,0.775,0.0,0.5,0.0,0.3333333333333334,0.5,0.011291258066090437,0.6118071071599859,0.011291258066090437,0.020320030579197845,5,2,1,True
humanitarian-evacuation-128,urban_humanitarian,c9ed00b2,4ce0e2e3,0.5292396373951485,1.0,0.86,0.0,0.5,0.0,0.28571428571428564,0.4444444444444444,0.0053575339507766495,0.5542445548522823,0.0,0.05368377907711841,5,2,0,True
urban-127,urban,33b9d136,681a28ad,0.5373955828781256,0.9550000000000001,0.9550000000000001,0.0,0.5,0.0,0.89,0.6666666666666667,0.014682568297930243,0.5844259132412312,0.0,0.042553686113141365,5,2,0,True
maritime-128,maritime,f531b638,022afc66,0.49596066174109055,1.0,1.0,0.0,0.5,0.0,0.39999999999999997,0.5714285714285714,0.02408913037969984,0.637026218656389,0.030673670372107775,0.0015449808020774336,5,2,1,True
multi-domain-129,mixed,e4da9139,c84270ae,0.49850305865319494,0.9550000000000001,1.0,0.0,0.5,1.0,0.9400000000000001,1.0,0.04581101672868204,0.6595269993070485,0.047292133740668374,-0.01580079152484326,5,2,1,True
air-defense-130,air_defense,c6a55de2,3340d51d,0.5148128338778466,0.86,0.815,0.0,0.5,0.0,0.3333333333333334,0.5,0.0046087623208318496,0.5818218743828769,0.0,0.028913676520229026,5,2,0,True
humanitarian-evacuation-131,urban_humanitarian,99f008ac,28c00a14,0.5169411844431101,1.0,0.9550000000000001,0.0,0.5,0.0,0.28571428571428564,0.4444444444444444,0.0032788347991047906,0.568588698820674,0.0,0.017185499485880995,5,2,0,True
urban-130,urban,95c5650d,6f397bf5,0.5259605535064119,0.815,0.59,0.0,0.5,0.0,0.89,0.6666666666666667,0.0033518753637649668,0.5903767067761495,0.0,0.026769156962982765,5,2,0,True
maritime-131,maritime,f930aa60,ab8072ab,0.5086488443894509,0.815,1.0,0.0,0.5,0.0,0.39999999999999997,0.5714285714285714,0.015571969819873854,0.6209109860087026,0.015571969819873854,0.017253693431840023,5,2,1,True
multi-domain-132,mixed,9d7ab520,dfcf4c25,0.49832571002217657,0.77,0.8200000000000001,0.0,0.5,1.0,0.9400000000000001,1.0,0.006405142814418674,0.6429448610172621,0.02096371745694181,-0.02081896498295366,5,2,1,False
