metric,mean,ci_lower,ci_upper,n_boot,confidence
gbc_single,0.5243456185053916,0.5187602707279116,0.5300069687485737,1000,0.95
gbc_sampled,0.49009378501382456,0.4868219634946661,0.4936185204713248,1000,0.95
nash_gap_single,0.19892564243707153,0.18923712254951242,0.20939145048297483,1000,0.95
nash_gap_sampled,0.26742930942020565,0.26126793721452163,0.2736243562290502,1000,0.95
blue_doctrinal_alignment,0.8467884444444443,0.8222777777777778,0.8710555555555556,1000,0.95
red_doctrinal_alignment_single,0.6671009999999999,0.6402222222222222,0.6952777777777778,1000,0.95
red_doctrinal_alignment_sampled,0.6783451111111112,0.6578333333333334,0.6998888888888889,1000,0.95
candidate_diversity,0.7319069973544974,0.7201256613756615,0.7444775132275133,1000,0.95
candidate_mef_spread,0.2540925558653902,0.24485568725418894,0.26412699582226007,1000,0.95
n_pareto_optimal,2.148711111111111,1.9777777777777779,2.3333333333333335,1000,0.95
gbc_llm,0.5488795337508526,0.5458141922615308,0.5519785198551537,1000,0.95
nash_gap_llm,0.14985781194614964,0.14323779461323202,0.15683337671655906,1000,0.95
red_doctrinal_alignment_llm,0.8042182222222223,0.7796111111111111,0.831,1000,0.95
framing_sensitivity_delta,0.045,0.04499999999999999,0.04500000000000001,1000,0.95
